movie_id,title,release_date,budget,revenue,genres,vote_average,vote_count,country,imdb_id,metacritic_score
8587,The Lion King,1994-06-23,45000000,763455561,Animation,8.259,16521,['United States of America'],tt0110357,88
8587,The Lion King,1994-06-23,45000000,763455561,Drama,8.259,16521,['United States of America'],tt0110357,88
98,Gladiator,2000-05-04,103000000,465361176,Action,8.206,16448,"['United Kingdom', 'United States of America']",tt0172495,67
98,Gladiator,2000-05-04,103000000,465361176,Drama,8.206,16448,"['United Kingdom', 'United States of America']",tt0172495,67
98,Gladiator,2000-05-04,103000000,465361176,Adventure,8.206,16448,"['United Kingdom', 'United States of America']",tt0172495,67
37165,The Truman Show,1998-06-04,60000000,264118201,Comedy,8.129,16220,['United States of America'],tt0120382,90
37165,The Truman Show,1998-06-04,60000000,264118201,Drama,8.129,16220,['United States of America'],tt0120382,90
9806,The Incredibles,2004-10-27,92000000,631442092,Action,7.702,16211,['United States of America'],tt0317705,90
9806,The Incredibles,2004-10-27,92000000,631442092,Adventure,7.702,16211,['United States of America'],tt0317705,90
9806,The Incredibles,2004-10-27,92000000,631442092,Animation,7.702,16211,['United States of America'],tt0317705,90
9806,The Incredibles,2004-10-27,92000000,631442092,Family,7.702,16211,['United States of America'],tt0317705,90
329865,Arrival,2016-11-10,47000000,203388186,Drama,7.581,16150,"['Canada', 'India', 'United States of America']",tt2543164,81
329865,Arrival,2016-11-10,47000000,203388186,Science Fiction,7.581,16150,"['Canada', 'India', 'United States of America']",tt2543164,81
329865,Arrival,2016-11-10,47000000,203388186,Mystery,7.581,16150,"['Canada', 'India', 'United States of America']",tt2543164,81
76338,Thor: The Dark World,2013-10-30,170000000,644783140,Action,6.546,15990,['United States of America'],tt1981115,54
76338,Thor: The Dark World,2013-10-30,170000000,644783140,Adventure,6.546,15990,['United States of America'],tt1981115,54
76338,Thor: The Dark World,2013-10-30,170000000,644783140,Fantasy,6.546,15990,['United States of America'],tt1981115,54
381288,Split,2017-01-19,9000000,278454358,Horror,7.334,15964,['United States of America'],tt4972582,62
381288,Split,2017-01-19,9000000,278454358,Thriller,7.334,15964,['United States of America'],tt4972582,62
1930,The Amazing Spider-Man,2012-06-23,215000000,757930663,Action,6.685,15964,['United States of America'],tt0948470,66
1930,The Amazing Spider-Man,2012-06-23,215000000,757930663,Adventure,6.685,15964,['United States of America'],tt0948470,66
1930,The Amazing Spider-Man,2012-06-23,215000000,757930663,Fantasy,6.685,15964,['United States of America'],tt0948470,66
383498,Deadpool 2,2018-05-10,110000000,785896609,Action,7.492,15891,['United States of America'],tt5463162,66
383498,Deadpool 2,2018-05-10,110000000,785896609,Comedy,7.492,15891,['United States of America'],tt5463162,66
383498,Deadpool 2,2018-05-10,110000000,785896609,Adventure,7.492,15891,['United States of America'],tt5463162,66
101299,The Hunger Games: Catching Fire,2013-11-15,130000000,865011746,Adventure,7.422,15821,['United States of America'],tt1951264,76
101299,The Hunger Games: Catching Fire,2013-11-15,130000000,865011746,Action,7.422,15821,['United States of America'],tt1951264,76
101299,The Hunger Games: Catching Fire,2013-11-15,130000000,865011746,Science Fiction,7.422,15821,['United States of America'],tt1951264,76
24,Kill Bill: Vol. 1,2003-10-10,30000000,180906076,Action,7.97,15781,['United States of America'],tt0266697,69
24,Kill Bill: Vol. 1,2003-10-10,30000000,180906076,Crime,7.97,15781,['United States of America'],tt0266697,69
496243,Parasite,2019-05-30,11363000,257591776,Comedy,8.515,15715,['South Korea'],tt6751668,96
496243,Parasite,2019-05-30,11363000,257591776,Thriller,8.515,15715,['South Korea'],tt6751668,96
496243,Parasite,2019-05-30,11363000,257591776,Drama,8.515,15715,['South Korea'],tt6751668,96
77338,The Intouchables,2011-11-02,13000000,426588510,Drama,8.275,15711,['France'],tt1675434,57
77338,The Intouchables,2011-11-02,13000000,426588510,Comedy,8.275,15711,['France'],tt1675434,57
694,The Shining,1980-05-23,19000000,44781695,Horror,8.222,15701,['United States of America'],tt0081505,66
